stock_label,subregion_species,assessment period,year,cv_rec,cv_f
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,1982,5.62,3.21
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,1983,4.67,4.08
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,1984,5.1,4.54
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,1985,5.99,4.18
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,1986,3.83,4.44
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,1987,5.07,4.18
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,1988,6.68,3.22
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,1989,6.42,3.38
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,1990,6.49,4.72
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,1991,4.36,5.21
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,1992,6.73,4.34
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,1993,4.22,3.64
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,1994,4.46,4.84
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,1995,4.46,4.31
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,1996,3.78,4.15
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,1997,5.59,3.64
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,1998,8.38,2.96
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,1999,3.34,5.02
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,2000,4.9,6.34
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,2001,4.3,4.78
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,2002,5.7,5.12
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,2003,3.99,5.16
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,2004,4.58,5.29
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,2005,3.86,4.82
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,2006,3.48,4.56
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,2007,6.44,4.47
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,2008,4.22,4.72
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,2009,4.83,6.02
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,2010,6.75,6.88
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,2011,8.42,8.5
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,2012,9.47,10.58
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,2013,10.01,11.84
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,2014,11.29,11.49
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,2015,12.32,11.25
Celtic Seas (D 7.a),Irish Sea_cod,1968-2016,2016,26.82,11.01
Celtic Seas (D 7.b-k),Celtic Sea_haddock,1993-2016,1993,21.2,24.6
Celtic Seas (D 7.b-k),Celtic Sea_haddock,1993-2016,1994,18.4,23.6
Celtic Seas (D 7.b-k),Celtic Sea_haddock,1993-2016,1995,16,25.8
Celtic Seas (D 7.b-k),Celtic Sea_haddock,1993-2016,1996,19.9,25.7
Celtic Seas (D 7.b-k),Celtic Sea_haddock,1993-2016,1997,22.2,25.7
Celtic Seas (D 7.b-k),Celtic Sea_haddock,1993-2016,1998,19.3,24.4
Celtic Seas (D 7.b-k),Celtic Sea_haddock,1993-2016,1999,18.2,28.9
Celtic Seas (D 7.b-k),Celtic Sea_haddock,1993-2016,2000,20.7,27.7
Celtic Seas (D 7.b-k),Celtic Sea_haddock,1993-2016,2001,17.4,30.3
Celtic Seas (D 7.b-k),Celtic Sea_haddock,1993-2016,2002,14,23.3
Celtic Seas (D 7.b-k),Celtic Sea_haddock,1993-2016,2003,15.6,26.8
Celtic Seas (D 7.b-k),Celtic Sea_haddock,1993-2016,2004,13.1,24.2
Celtic Seas (D 7.b-k),Celtic Sea_haddock,1993-2016,2005,12.5,23.2
Celtic Seas (D 7.b-k),Celtic Sea_haddock,1993-2016,2006,13.9,28.5
Celtic Seas (D 7.b-k),Celtic Sea_haddock,1993-2016,2007,10.6,26.7
Celtic Seas (D 7.b-k),Celtic Sea_haddock,1993-2016,2008,13.1,17.8
Celtic Seas (D 7.b-k),Celtic Sea_haddock,1993-2016,2009,9,18.7
Celtic Seas (D 7.b-k),Celtic Sea_haddock,1993-2016,2010,13.9,18.3
Celtic Seas (D 7.b-k),Celtic Sea_haddock,1993-2016,2011,19.3,19.1
Celtic Seas (D 7.b-k),Celtic Sea_haddock,1993-2016,2012,20.7,16
Celtic Seas (D 7.b-k),Celtic Sea_haddock,1993-2016,2013,11.1,18.2
Celtic Seas (D 7.b-k),Celtic Sea_haddock,1993-2016,2014,19.6,20.2
Celtic Seas (D 7.b-k),Celtic Sea_haddock,1993-2016,2015,15.9,21.8
Celtic Seas (D 7.b-k),Celtic Sea_haddock,1993-2016,2016,42.4,25.2
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,1981,23.98,14.46
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,1982,20.23,12.97
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,1983,19.75,13.55
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,1984,19.33,12.53
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,1985,19.17,12.76
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,1986,19.26,12.97
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,1987,19.82,13.12
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,1988,19.18,12.39
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,1989,21.4,13.61
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,1990,18.84,12.97
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,1991,18.41,12.97
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,1992,17.8,11.72
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,1993,15.82,12.76
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,1994,16.13,12.96
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,1995,15.85,13.43
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,1996,16.02,14.01
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,1997,15.88,14.01
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,1998,15.88,14.01
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,1999,16.37,15.7
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,2000,17.39,17.54
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,2001,16.53,18.9
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,2002,16.86,17.01
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,2003,17.8,21.48
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,2004,17.36,21.87
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,2005,17.28,18.8
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,2006,16.6,20.41
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,2007,17.33,20.87
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,2008,16.69,21.01
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,2009,18.48,21.26
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,2010,16.85,21.48
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,2011,17.35,21.26
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,2012,17.06,19.62
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,2013,17.13,19.13
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,2014,19.62,17.01
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,2015,20.59,17.01
Celtic Seas (D 7.a),Irish Sea_plaice,1981-2016,2016,23.62,20.41
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,1981,30.65,18.59
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,1982,24.84,18.39
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,1983,28.14,18.22
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,1984,25.18,18.03
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,1985,26.89,18
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,1986,23.91,18.43
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,1987,23.02,17.32
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,1988,24.02,17.07
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,1989,29.07,14.98
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,1990,30.49,17.2
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,1991,27.79,18.13
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,1992,28.56,18.29
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,1993,30.28,17.64
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,1994,29.71,16.85
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,1995,29.57,15.04
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,1996,25.27,15.18
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,1997,24.94,16.83
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,1998,27.16,18.79
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,1999,28,18.61
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,2000,32.57,18.67
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,2001,28.84,18.97
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,2002,24.03,20.68
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,2003,20.97,17.7
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,2004,20.99,18.26
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,2005,19.72,17.77
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,2006,20.92,18.55
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,2007,19.57,20.04
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,2008,20.69,17.82
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,2009,20.36,15.87
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,2010,20.15,15.04
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,2011,21.4,15.29
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,2012,21.31,15.8
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,2013,22.3,15.91
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,2014,21.4,16.09
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,2015,28.09,18.09
Celtic Seas (D 6.a),Celtic Sea 27.6.a._whiting,1981-2016,2016,36.4,22.71
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,1980,32.54,32.25
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,1981,42.31,29.38
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,1982,44.38,32.97
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,1983,25.26,38.83
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,1984,31.31,35.5
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,1985,34.33,32.53
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,1986,26.16,35.03
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,1987,34.6,32.5
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,1988,32.24,32.76
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,1989,26.66,32.35
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,1990,24.97,30.84
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,1991,16.75,25.53
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,1992,15.22,18.7
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,1993,13.07,17.11
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,1994,13.72,17.78
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,1995,11.86,17.25
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,1996,12.88,14.98
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,1997,13.95,16.78
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,1998,13.05,16.89
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,1999,12.79,17.91
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,2000,13.94,15.48
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,2001,13.06,18.49
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,2002,13.63,16.12
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,2003,14.93,23.87
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,2004,12.51,17.52
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,2005,13.87,28.1
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,2006,12.61,18.42
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,2007,13.1,17.14
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,2008,12.48,19.45
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,2009,13.35,17.76
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,2010,12.84,19.22
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,2011,12.57,19.95
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,2012,13.56,17.53
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,2013,14.03,22.35
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,2014,12.21,18.82
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,2015,15.91,21.8
Celtic Seas (D 7.a),Celtic Sea 7.a._whiting,1980-2016,2016,24.86,31.32
