year,ecoregion,subregion,species,subregion_species,fbar,fmsy,fbar_fmsy,ssb,bpa,ssb_bpa
1993,Celtic Seas,Celtic Sea 6.d.,cod,Celtic Sea 6.d._cod,0.83175,0.17,4.89265,16511.0,22000,0.75100
1994,Celtic Seas,Celtic Sea 6.d.,cod,Celtic Sea 6.d._cod,0.7935,0.17,4.66765,17265.0,22000,0.78500
1995,Celtic Seas,Celtic Sea 6.d.,cod,Celtic Sea 6.d._cod,0.812,0.17,4.77647,17722.0,22000,0.80600
1996,Celtic Seas,Celtic Sea 6.d.,cod,Celtic Sea 6.d._cod,0.94125,0.17,5.53676,17742.0,22000,0.80600
1997,Celtic Seas,Celtic Sea 6.d.,cod,Celtic Sea 6.d._cod,1.00475,0.17,5.91029,12953.0,22000,0.58900
1998,Celtic Seas,Celtic Sea 6.d.,cod,Celtic Sea 6.d._cod,0.972,0.17,5.71765,11199.0,22000,0.50900
1999,Celtic Seas,Celtic Sea 6.d.,cod,Celtic Sea 6.d._cod,1.05275,0.17,6.19265,10013.0,22000,0.45500
2000,Celtic Seas,Celtic Sea 6.d.,cod,Celtic Sea 6.d._cod,0.9415,0.17,5.53824,7007.0,22000,0.31900
2001,Celtic Seas,Celtic Sea 6.d.,cod,Celtic Sea 6.d._cod,0.999,0.17,5.87647,7696.0,22000,0.35000
2002,Celtic Seas,Celtic Sea 6.d.,cod,Celtic Sea 6.d._cod,1.04975,0.17,6.17500,7521.0,22000,0.34200
2003,Celtic Seas,Celtic Sea 6.d.,cod,Celtic Sea 6.d._cod,1.058,0.17,6.22353,5787.0,22000,0.26300
2004,Celtic Seas,Celtic Sea 6.d.,cod,Celtic Sea 6.d._cod,1.01075,0.17,5.94559,3665.0,22000,0.16700
2005,Celtic Seas,Celtic Sea 6.d.,cod,Celtic Sea 6.d._cod,1.1875,0.17,6.98529,2335.0,22000,0.10600
2006,Celtic Seas,Celtic Sea 6.d.,cod,Celtic Sea 6.d._cod,0.88175,0.17,5.18676,1435.0,22000,0.06500
2007,Celtic Seas,Celtic Sea 6.d.,cod,Celtic Sea 6.d._cod,1.0665,0.17,6.27353,2400.0,22000,0.10900
2008,Celtic Seas,Celtic Sea 6.d.,cod,Celtic Sea 6.d._cod,1.00675,0.17,5.92206,2450.0,22000,0.11100
2009,Celtic Seas,Celtic Sea 6.d.,cod,Celtic Sea 6.d._cod,0.87075,0.17,5.12206,1942.0,22000,0.08800
2010,Celtic Seas,Celtic Sea 6.d.,cod,Celtic Sea 6.d._cod,0.8445,0.17,4.96765,2219.0,22000,0.10100
2011,Celtic Seas,Celtic Sea 6.d.,cod,Celtic Sea 6.d._cod,1.106,0.17,6.50588,2648.0,22000,0.12000
2012,Celtic Seas,Celtic Sea 6.d.,cod,Celtic Sea 6.d._cod,0.879,0.17,5.17059,2564.0,22000,0.11700
2013,Celtic Seas,Celtic Sea 6.d.,cod,Celtic Sea 6.d._cod,0.899,0.17,5.28824,2214.0,22000,0.10100
2014,Celtic Seas,Celtic Sea 6.d.,cod,Celtic Sea 6.d._cod,0.75075,0.17,4.41618,2296.0,22000,0.10400
2015,Celtic Seas,Celtic Sea 6.d.,cod,Celtic Sea 6.d._cod,0.688,0.17,4.04706,2762.0,22000,0.12600
2016,Celtic Seas,Celtic Sea 6.d.,cod,Celtic Sea 6.d._cod,0.9445,0.17,5.55588,2741.0,22000,0.12500
1968,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.597786667,0.31,1.92834,15734.1,8161,1.92800
1969,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.794666667,0.31,2.56344,15283.4,8161,1.87300
1970,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.59516,0.31,1.91987,11725.9,8161,1.43700
1971,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.655036667,0.31,2.11302,12869.5,8161,1.57700
1972,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.575633333,0.31,1.85688,16333.1,8161,2.00100
1973,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.74596,0.31,2.40632,20602.6,8161,2.52500
1974,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.66852,0.31,2.15652,17296.2,8161,2.11900
1975,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.745003333,0.31,2.40324,17762.1,8161,2.17600
1976,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.755643333,0.31,2.43756,13797.3,8161,1.69100
1977,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.776886667,0.31,2.50609,13253.4,8161,1.62400
1978,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.561906667,0.31,1.81260,9765.3,8161,1.19700
1979,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.654313333,0.31,2.11069,10631.2,8161,1.30300
1980,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.67391,0.31,2.17390,12487.6,8161,1.53000
1981,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.75268,0.31,2.42800,17600.7,8161,2.15700
1982,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.841693333,0.31,2.71514,20101.6,8161,2.46300
1983,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.773566667,0.31,2.49538,16519.4,8161,2.02400
1984,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.74325,0.31,2.39758,11629.8,8161,1.42500
1985,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.81381,0.31,2.62519,11898.1,8161,1.45800
1986,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.812236667,0.31,2.62012,12202.3,8161,1.49500
1987,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.941363333,0.31,3.03666,13020.5,8161,1.59500
1988,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.975153333,0.31,3.14566,12447.9,8161,1.52500
1989,Celtic Seas,Irish Sea,cod,Irish Sea_cod,1.096376667,0.31,3.53670,14033.9,8161,1.72000
1990,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.888413333,0.31,2.86585,9853.8,8161,1.20700
1991,Celtic Seas,Irish Sea,cod,Irish Sea_cod,1.10941,0.31,3.57874,7102.7,8161,0.87000
1992,Celtic Seas,Irish Sea,cod,Irish Sea_cod,1.169643333,0.31,3.77304,6037.2,8161,0.74000
1993,Celtic Seas,Irish Sea,cod,Irish Sea_cod,1.26299,0.31,4.07416,5745.1,8161,0.70400
1994,Celtic Seas,Irish Sea,cod,Irish Sea_cod,1.32706,0.31,4.28084,4929.9,8161,0.60400
1995,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.943043333,0.31,3.04208,3528.1,8161,0.43200
1996,Celtic Seas,Irish Sea,cod,Irish Sea_cod,1.010763333,0.31,3.26053,4418.0,8161,0.54100
1997,Celtic Seas,Irish Sea,cod,Irish Sea_cod,1.062823333,0.31,3.42846,5235.9,8161,0.64200
1998,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.96318,0.31,3.10703,5796.2,8161,0.71000
1999,Celtic Seas,Irish Sea,cod,Irish Sea_cod,1.801483333,0.31,5.81124,5239.5,8161,0.64200
2000,Celtic Seas,Irish Sea,cod,Irish Sea_cod,1.451133333,0.31,4.68108,1520.3,8161,0.18600
2001,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.996146667,0.31,3.21338,2655.4,8161,0.32500
2002,Celtic Seas,Irish Sea,cod,Irish Sea_cod,1.407903333,0.31,4.54162,3045.7,8161,0.37300
2003,Celtic Seas,Irish Sea,cod,Irish Sea_cod,1.016616667,0.31,3.27941,2228.1,8161,0.27300
2004,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.941536667,0.31,3.03722,2020.6,8161,0.24800
2005,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.948853333,0.31,3.06082,1920.6,8161,0.23500
2006,Celtic Seas,Irish Sea,cod,Irish Sea_cod,1.127946667,0.31,3.63854,1630.6,8161,0.20000
2007,Celtic Seas,Irish Sea,cod,Irish Sea_cod,1.072293333,0.31,3.45901,1473.1,8161,0.18100
2008,Celtic Seas,Irish Sea,cod,Irish Sea_cod,1.116513333,0.31,3.60166,1362.0,8161,0.16700
2009,Celtic Seas,Irish Sea,cod,Irish Sea_cod,1.095573333,0.31,3.53411,863.3,8161,0.10600
2010,Celtic Seas,Irish Sea,cod,Irish Sea_cod,1.03461,0.31,3.33745,1080.8,8161,0.13200
2011,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.347266667,0.31,1.12022,1422.9,8161,0.17400
2012,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.595193333,0.31,1.91998,1970.7,8161,0.24100
2013,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.176073333,0.31,0.56798,2308.9,8161,0.28300
2014,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.116983333,0.31,0.37737,3929.3,8161,0.48100
2015,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.067,0.31,0.21613,5759.2,8161,0.70600
2016,Celtic Seas,Irish Sea,cod,Irish Sea_cod,0.02829,0.31,0.09126,7173.1,8161,0.87900
1971,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.557,0.35,1.59143,10093.0,10300,0.98000
1972,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.517,0.35,1.47714,9298.0,10300,0.90300
1973,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.541,0.35,1.54571,8617.0,10300,0.83700
1974,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.375,0.35,1.07143,8327.0,10300,0.80800
1975,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.678,0.35,1.93714,7526.0,10300,0.73100
1976,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.554,0.35,1.58286,7316.0,10300,0.71000
1977,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.349,0.35,0.99714,8841.0,10300,0.85800
1978,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.361,0.35,1.03143,9689.0,10300,0.94100
1979,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.468,0.35,1.33714,9848.0,10300,0.95600
1980,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.694,0.35,1.98286,10347.0,10300,1.00500
1981,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.808,0.35,2.30857,11212.0,10300,1.08900
1982,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.64,0.35,1.82857,13547.0,10300,1.31500
1983,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.834,0.35,2.38286,13008.0,10300,1.26300
1984,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.532,0.35,1.52000,9568.0,10300,0.92900
1985,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.539,0.35,1.54000,13103.0,10300,1.27200
1986,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.787,0.35,2.24857,13692.0,10300,1.32900
1987,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.811,0.35,2.31714,11364.0,10300,1.10300
1988,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.639,0.35,1.82571,16607.0,10300,1.61200
1989,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.817,0.35,2.33429,26324.0,10300,2.55600
1990,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.855,0.35,2.44286,19126.0,10300,1.85700
1991,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.981,0.35,2.80286,10846.0,10300,1.05300
1992,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.852,0.35,2.43429,9074.0,10300,0.88100
1993,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.749,0.35,2.14000,12281.0,10300,1.19200
1994,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.749,0.35,2.14000,14360.0,10300,1.39400
1995,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.726,0.35,2.07429,13027.0,10300,1.26500
1996,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.854,0.35,2.44000,15916.0,10300,1.54500
1997,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.806,0.35,2.30286,14101.0,10300,1.36900
1998,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.957,0.35,2.73429,12590.0,10300,1.22200
1999,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.872,0.35,2.49143,10985.0,10300,1.06700
2000,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.76,0.35,2.17143,7673.0,10300,0.74500
2001,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.755,0.35,2.15714,8590.0,10300,0.83400
2002,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.856,0.35,2.44571,10858.0,10300,1.05400
2003,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.942,0.35,2.69143,8873.0,10300,0.86100
2004,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.958,0.35,2.73714,4641.0,10300,0.45100
2005,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.99,0.35,2.82857,3397.0,10300,0.33000
2006,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.832,0.35,2.37714,3769.0,10300,0.36600
2007,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.834,0.35,2.38286,5121.0,10300,0.49700
2008,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.758,0.35,2.16571,5455.0,10300,0.53000
2009,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.772,0.35,2.20571,5092.0,10300,0.49400
2010,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.558,0.35,1.59429,4956.0,10300,0.48100
2011,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.493,0.35,1.40857,9064.0,10300,0.88000
2012,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.689,0.35,1.96857,13628.0,10300,1.32300
2013,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.955,0.35,2.72857,1461.0,10300,0.14200
2014,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.821,0.35,2.34571,7711.0,10300,0.74900
2015,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.628,0.35,1.79429,537.0,10300,0.05200
2016,Celtic Seas,Celtic Sea,cod,Celtic Sea_cod,0.439,0.35,1.25429,3385.0,10300,0.32900
1991,Celtic Seas,Rockall,haddock,Rockall_haddock,0.74575,0.2,3.72875,15060.0,10200,1.47600
1992,Celtic Seas,Rockall,haddock,Rockall_haddock,0.851075,0.2,4.25538,18053.0,10200,1.77000
1993,Celtic Seas,Rockall,haddock,Rockall_haddock,0.65075,0.2,3.25375,19143.0,10200,1.87700
1994,Celtic Seas,Rockall,haddock,Rockall_haddock,0.61715,0.2,3.08575,23482.0,10200,2.30200
1995,Celtic Seas,Rockall,haddock,Rockall_haddock,0.630275,0.2,3.15138,28765.0,10200,2.82000
1996,Celtic Seas,Rockall,haddock,Rockall_haddock,0.5782,0.2,2.89100,24909.0,10200,2.44200
1997,Celtic Seas,Rockall,haddock,Rockall_haddock,0.39495,0.2,1.97475,21544.0,10200,2.11200
1998,Celtic Seas,Rockall,haddock,Rockall_haddock,0.596075,0.2,2.98038,20832.0,10200,2.04200
1999,Celtic Seas,Rockall,haddock,Rockall_haddock,0.86765,0.2,4.33825,16154.0,10200,1.58400
2000,Celtic Seas,Rockall,haddock,Rockall_haddock,1.12455,0.2,5.62275,11520.0,10200,1.12900
2001,Celtic Seas,Rockall,haddock,Rockall_haddock,0.4422,0.2,2.21100,6476.0,10200,0.63500
2002,Celtic Seas,Rockall,haddock,Rockall_haddock,0.493275,0.2,2.46638,6752.0,10200,0.66200
2003,Celtic Seas,Rockall,haddock,Rockall_haddock,0.716525,0.2,3.58263,13160.0,10200,1.29000
2004,Celtic Seas,Rockall,haddock,Rockall_haddock,0.714825,0.2,3.57413,15614.0,10200,1.53100
2005,Celtic Seas,Rockall,haddock,Rockall_haddock,0.42365,0.2,2.11825,14821.0,10200,1.45300
2006,Celtic Seas,Rockall,haddock,Rockall_haddock,0.282175,0.2,1.41088,12347.0,10200,1.21000
2007,Celtic Seas,Rockall,haddock,Rockall_haddock,0.51975,0.2,2.59875,10023.0,10200,0.98300
2008,Celtic Seas,Rockall,haddock,Rockall_haddock,0.513425,0.2,2.56713,21967.0,10200,2.15400
2009,Celtic Seas,Rockall,haddock,Rockall_haddock,0.449275,0.2,2.24638,14407.0,10200,1.41200
2010,Celtic Seas,Rockall,haddock,Rockall_haddock,0.3364,0.2,1.68200,11697.0,10200,1.14700
2011,Celtic Seas,Rockall,haddock,Rockall_haddock,0.293,0.2,1.46500,6887.0,10200,0.67500
2012,Celtic Seas,Rockall,haddock,Rockall_haddock,0.173775,0.2,0.86888,6583.0,10200,0.64500
2013,Celtic Seas,Rockall,haddock,Rockall_haddock,0.09035,0.2,0.45175,3973.0,10200,0.39000
2014,Celtic Seas,Rockall,haddock,Rockall_haddock,0.63605,0.2,3.18025,2624.0,10200,0.25700
2015,Celtic Seas,Rockall,haddock,Rockall_haddock,0.42025,0.2,2.10125,14383.0,10200,1.41000
2016,Celtic Seas,Rockall,haddock,Rockall_haddock,0.1006,0.2,0.50300,17150.0,10200,1.68100
1993,Celtic Seas,Celtic Sea,haddock,Celtic Sea_haddock,1.088,0.4,2.72000,7482.0,10000,0.74800
1994,Celtic Seas,Celtic Sea,haddock,Celtic Sea_haddock,1.051,0.4,2.62750,7969.0,10000,0.79700
1995,Celtic Seas,Celtic Sea,haddock,Celtic Sea_haddock,0.847,0.4,2.11750,7394.0,10000,0.73900
1996,Celtic Seas,Celtic Sea,haddock,Celtic Sea_haddock,0.832,0.4,2.08000,19671.0,10000,1.96700
1997,Celtic Seas,Celtic Sea,haddock,Celtic Sea_haddock,0.688,0.4,1.72000,28560.0,10000,2.85600
1998,Celtic Seas,Celtic Sea,haddock,Celtic Sea_haddock,0.752,0.4,1.88000,22386.0,10000,2.23900
1999,Celtic Seas,Celtic Sea,haddock,Celtic Sea_haddock,0.52,0.4,1.30000,14060.0,10000,1.40600
2000,Celtic Seas,Celtic Sea,haddock,Celtic Sea_haddock,0.652,0.4,1.63000,17306.0,10000,1.73100
2001,Celtic Seas,Celtic Sea,haddock,Celtic Sea_haddock,0.689,0.4,1.72250,29186.0,10000,2.91900
2002,Celtic Seas,Celtic Sea,haddock,Celtic Sea_haddock,1.248,0.4,3.12000,36181.0,10000,3.61800
2003,Celtic Seas,Celtic Sea,haddock,Celtic Sea_haddock,0.643,0.4,1.60750,25237.0,10000,2.52400
2004,Celtic Seas,Celtic Sea,haddock,Celtic Sea_haddock,0.774,0.4,1.93500,43258.0,10000,4.32600
2005,Celtic Seas,Celtic Sea,haddock,Celtic Sea_haddock,0.805,0.4,2.01250,29425.0,10000,2.94300
2006,Celtic Seas,Celtic Sea,haddock,Celtic Sea_haddock,0.513,0.4,1.28250,23503.0,10000,2.35000
2007,Celtic Seas,Celtic Sea,haddock,Celtic Sea_haddock,0.404,0.4,1.01000,24848.0,10000,2.48500
2008,Celtic Seas,Celtic Sea,haddock,Celtic Sea_haddock,0.724,0.4,1.81000,23850.0,10000,2.38500
2009,Celtic Seas,Celtic Sea,haddock,Celtic Sea_haddock,0.565,0.4,1.41250,36168.0,10000,3.61700
2010,Celtic Seas,Celtic Sea,haddock,Celtic Sea_haddock,0.594,0.4,1.48500,37358.0,10000,3.73600
2011,Celtic Seas,Celtic Sea,haddock,Celtic Sea_haddock,0.454,0.4,1.13500,85188.0,10000,8.51900
2012,Celtic Seas,Celtic Sea,haddock,Celtic Sea_haddock,0.574,0.4,1.43500,68042.0,10000,6.80400
2013,Celtic Seas,Celtic Sea,haddock,Celtic Sea_haddock,0.499,0.4,1.24750,40647.0,10000,4.06500
2014,Celtic Seas,Celtic Sea,haddock,Celtic Sea_haddock,0.53,0.4,1.32500,24854.0,10000,2.48500
2015,Celtic Seas,Celtic Sea,haddock,Celtic Sea_haddock,0.521,0.4,1.30250,38298.0,10000,3.83000
2016,Celtic Seas,Celtic Sea,haddock,Celtic Sea_haddock,0.674,0.4,1.68500,28251.0,10000,2.82500
1981,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.59625,0.16,3.72656,7076.0,5825,1.21500
1982,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.5865,0.16,3.66563,6755.0,5825,1.16000
1983,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.64425,0.16,4.02656,6074.0,5825,1.04300
1984,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.566,0.16,3.53750,7682.0,5825,1.31900
1985,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.55825,0.16,3.48906,8485.0,5825,1.45700
1986,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.587,0.16,3.66875,9074.0,5825,1.55800
1987,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.705,0.16,4.40625,8510.0,5825,1.46100
1988,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.699,0.16,4.36875,7909.0,5825,1.35800
1989,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.6025,0.16,3.76563,7040.0,5825,1.20900
1990,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.591,0.16,3.69375,6394.0,5825,1.09800
1991,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.5885,0.16,3.67813,5121.0,5825,0.87900
1992,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.7365,0.16,4.60313,5176.0,5825,0.88900
1993,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.638,0.16,3.98750,4323.0,5825,0.74200
1994,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.625,0.16,3.90625,4558.0,5825,0.78200
1995,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.56875,0.16,3.55469,3991.0,5825,0.68500
1996,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.51325,0.16,3.20781,4308.0,5825,0.74000
1997,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.51325,0.16,3.20781,4575.0,5825,0.78500
1998,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.50625,0.16,3.16406,4968.0,5825,0.85300
1999,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.38975,0.16,2.43594,5740.0,5825,0.98500
2000,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.317,0.16,1.98125,6317.0,5825,1.08400
2001,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.2745,0.16,1.71563,7669.0,5825,1.31700
2002,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.23575,0.16,1.47344,9145.0,5825,1.57000
2003,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.192,0.16,1.20000,10989.0,5825,1.88700
2004,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.13975,0.16,0.87344,11125.0,5825,1.91000
2005,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.1865,0.16,1.16563,10790.0,5825,1.85200
2006,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.20175,0.16,1.26094,9642.0,5825,1.65500
2007,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.22425,0.16,1.40156,7965.0,5825,1.36700
2008,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.1715,0.16,1.07188,7980.0,5825,1.37000
2009,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.12375,0.16,0.77344,9099.0,5825,1.56200
2010,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.194,0.16,1.21250,9080.0,5825,1.55900
2011,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.11925,0.16,0.74531,10765.0,5825,1.84800
2012,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.12725,0.16,0.79531,9067.0,5825,1.55700
2013,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.08175,0.16,0.51094,10989.0,5825,1.88700
2014,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.088,0.16,0.55000,11204.0,5825,1.92300
2015,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.05625,0.16,0.35156,15234.0,5825,2.61500
2016,Celtic Seas,Irish Sea,plaice,Irish Sea_plaice,0.0475,0.16,0.29688,22686.0,5825,3.89500
1980,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.51625,0.24,2.15104,NA,2443,NA
1981,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.438,0.24,1.82500,NA,2443,NA
1982,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.5285,0.24,2.20208,NA,2443,NA
1983,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.54925,0.24,2.28854,NA,2443,NA
1984,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.52725,0.24,2.19688,NA,2443,NA
1985,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.50075,0.24,2.08646,NA,2443,NA
1986,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.485,0.24,2.02083,NA,2443,NA
1987,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.6025,0.24,2.51042,NA,2443,NA
1988,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.46925,0.24,1.95521,NA,2443,NA
1989,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.60975,0.24,2.54063,NA,2443,NA
1990,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.619,0.24,2.57917,NA,2443,NA
1991,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.60225,0.24,2.50938,NA,2443,NA
1992,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.639,0.24,2.66250,NA,2443,NA
1993,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.5925,0.24,2.46875,NA,2443,NA
1994,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.59225,0.24,2.46771,NA,2443,NA
1995,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.59175,0.24,2.46563,NA,2443,NA
1996,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.586,0.24,2.44167,NA,2443,NA
1997,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.622,0.24,2.59167,NA,2443,NA
1998,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.52425,0.24,2.18438,NA,2443,NA
1999,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.53425,0.24,2.22604,NA,2443,NA
2000,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.5395,0.24,2.24792,NA,2443,NA
2001,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.51975,0.24,2.16563,NA,2443,NA
2002,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.6165,0.24,2.56875,NA,2443,NA
2003,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.53925,0.24,2.24688,NA,2443,NA
2004,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.60375,0.24,2.51563,NA,2443,NA
2005,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.57625,0.24,2.40104,NA,2443,NA
2006,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.59525,0.24,2.48021,NA,2443,NA
2007,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.68225,0.24,2.84271,NA,2443,NA
2008,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.581,0.24,2.42083,NA,2443,NA
2009,Celtic Seas,Western Channel,plaice,Western Channel_plaice,0.3565,0.24,1.48542,NA,2443,NA
